registration_no,book_no,book_label,district,office,deed_type,registration_date,presentation_date,consideration_amount,old_reg_no,year,has_scan,has_pdf,source
910010901122,1,SALE,ANGUL,ANGUL,SALE IMMOVABLE,,06-Mar-2009,88000,1122,2009,True,True,render_gcs_ingest
910010902985,1,SALE,UNKNOWN,ANGUL,SALE IMMOVABLE,,29-Jun-2009,,2985,2009,True,True,render_gcs_ingest
911600300057,1,SALE,RAYAGADA,GUNUPUR,SALE IMMOVABLE,08-Feb-2003,08-Feb-2003,5000,57,2003,True,True,render_gcs_ingest
910010700087,1,SALE,UNKNOWN,UNKNOWN,SALE IMMOVABLE,,,,,2007,True,True,render_gcs_ingest
910010201637,1,SALE,UNKNOWN,UNKNOWN,SALE IMMOVABLE,,,,,2002,True,False,render_gcs_ingest
910010501942,1,SALE,ANGUL,ANGUL,LEASE WITH ADVANCE ONLY(IMMOVABLE),27-Jul-2005,31-Mar-2005,0,1942,2005,True,True,render_gcs_ingest
910010701561,1,SALE,UNKNOWN,UNKNOWN,SALE IMMOVABLE,,,,,2007,True,True,render_gcs_ingest
910010903614,1,SALE,UNKNOWN,UNKNOWN,SALE IMMOVABLE,,,17600,,2009,True,True,render_gcs_ingest
910010703239,1,SALE,ANGUL,ANGUL,SALE IMMOVABLE,27-Aug-2007,13-Aug-2007,20800,3239,2007,True,True,render_gcs_ingest
910010904105,1,SALE,UNKNOWN,ANGUL,SALE IMMOVABLE,17-Nov-2009,11-Sep-2009,,4105,2009,True,True,render_gcs_ingest
910010300932,1,SALE,ANGUL,UNKNOWN,SALE IMMOVABLE,,,3000,,2003,True,True,render_gcs_ingest
911730500163,1,SALE,SUNDARGARH,UNKNOWN,LEASE WITH ADVANCE ONLY(IMMOVABLE),,,,163,2005,True,True,render_gcs_ingest
910010301502,1,SALE,ANGUL,ANGUL,SALE IMMOVABLE,30-Jul-2003,23-Jun-2003,6250,1502,2003,True,True,render_gcs_ingest
910010905131,1,SALE,ANGUL,UNKNOWN,SALE IMMOVABLE,,16-Nov-2009,30800,,2009,True,True,render_gcs_ingest
910100300796,1,SALE,BALASORE,JALESWARPUR,SALE IMMOVABLE,15-Mar-2003,14-Mar-2003,12000,796,2003,True,False,render_gcs_ingest
910010501430,1,SALE,UNKNOWN,UNKNOWN,SALE IMMOVABLE,30-Jun-2005,04-Apr-2005,,,2005,True,True,render_gcs_ingest
910020300755,1,SALE,ANGUL,ATHAMALLIK,SALE IMMOVABLE,23-Apr-2003,23-Apr-2003,1700,755,2003,True,True,render_gcs_ingest
910460501975,1,SALE,CUTTACK,NIALI,SALE IMMOVABLE,23-Oct-2005,23-Oct-2005,,1975,2005,True,True,render_gcs_ingest
910360800607,1,SALE,BOLANGIR,LUISINGA,SALE IMMOVABLE,26-Oct-2008,26-Oct-2008,30000,607,2008,True,True,render_gcs_ingest
910010503447,1,SALE,ANGUL,ANGUL,SALE IMMOVABLE,01-Dec-2005,16-Sep-2005,75000,3447,2005,True,True,render_gcs_ingest
910300500136,1,SALE,BHADRAK,TIHIDI,LEASE WITH ADVANCE ONLY(IMMOVABLE),08-Jan-2005,08-Jan-2005,1018,136,2005,True,True,render_gcs_ingest
